Id,Predicted
10000061,0.024202624
10001866,0.003862528
10001631,0.019574225
10001998,0.004377624
10000227,0.019747388
10001126,0.035937967
10000014,0.040694397
10000521,6.99E-05
10001762,0.093560191
10000501,0.019676016
10000847,0.010813778
10001245,0.011695993
10000982,0.000520043
10001592,0.501603887
10001784,0.56305928
10000773,0.008148562
10000745,0.644699453
10001685,0.000374098
10001076,0.000567203
10000546,0.000119061
10001646,0.55481224
10000744,0.008743193
10000223,0.081503834
10001676,0.868327554
10001038,0.002437799
10001491,0.033373695
10001629,0.238385816
10001648,0.000295604
10000152,0.22413256
10001688,0.361176957
10000687,0.991404875
10001803,0.001748914
10000676,0.584212396
10001325,0.495381593
10000055,0.248485311
10000141,0.148926107
10001643,0.078476763
10000893,0.799012799
10000202,0.003328318
10001851,0.079150491
10000574,0.000456242
10000980,0.000134955
10000887,0.00296036
10001275,0.031256987
10000597,0.782906465
10001451,0.038098215
10001807,0.015963534
10001687,0.025538519
10001810,0.00495547
10001368,0.01155783
10000748,0.005018918
10000393,0.000737035
10000217,0.058716528
10000760,0.01461265
10001712,0.002846006
10000039,0.555043957
10001258,0.002738769
10000066,0.009047565
10001990,0.000800612
10001924,0.008311161
10000979,0.037389207
10000206,0.028145688
10000399,0.004379419
10000871,0.001674733
10001694,0.001185418
10000575,0.247741299
10001084,0.000833338
10000005,0.001294363
10000058,0.002067757
10001128,0.0004292
10001527,0.029257606
10000896,0.002780381
10001984,0.005229021
10001178,0.00626149
10000092,0.000505563
10001995,0.027722194
10000726,0.002889789
10000965,0.1186882
10001049,0.045575233
10001745,0.126789127
10000278,0.002507931
10000792,0.001641035
10000133,0.005441878
10001928,0.001457124
10000144,0.049332188
10000632,0.26202557
10001385,0.002918816
10000805,0.002889894
10001091,0.587381965
10000794,0.766093201
10001931,0.044505412
10001611,0.013834714
10000019,0.019895679
10001501,0.002363021
10000878,0.000661882
10000054,0.006628899
10001683,0.005334335
10001897,0.005884108
10001343,0.082636981
10001410,0.000170907
10001188,0.020667533
10001280,0.002221795
10001956,0.171902122
10000001,0.002583038
10001557,0.045595979
10001754,0.068258295
10000113,0.031656037
10001895,0.087570415
10001050,0.178186862
10000438,0.009620217
10001477,0.004089476
10000082,0.004330979
10000379,0.002162303
10001211,0.012354259
10001732,0.004437365
10000326,0.002467307
10001256,0.01378653
10000322,0.006024475
10001717,0.002709279
10001354,0.002758862
10001823,0.012835433
10000461,0.038406099
10000425,0.153728229
10001386,0.00810236
10000122,0.000735
10000881,0.012593369
10000446,0.016041149
10000048,0.084234477
10001196,0.964817538
10000677,0.698404719
10001399,0.215955581
10001498,0.004851748
10000503,0.004597973
10001900,0.766631148
10001228,0.116171834
10000298,0.000895877
10000052,0.016314179
10001742,0.009598643
10001791,0.975127481
10000713,0.00547678
10001453,0.117407777
10000360,0.189873997
10001809,0.022919363
10000769,0.102194739
10000563,0.003618086
