Id,Label,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
10000190,0,1.0,1,4.0,17.0,108.0,22.0,1.0,24.0,22.0,1.0,1.0,,22.0,05db9164,d833535f,77f2f2e5,d16679b9,4cf72387,7e0ccccf,def4a4d4,5b392875,a73ee510,0c70a731,4ba74619,9f32b866,879fa878,b28479f6,a66dcf27,31ca40b6,d4bb7bd8,7b49e3d2,,,dfcfc3fa,,423fab69,aee52b6f,,
10001836,0,,0,,,6531.0,23.0,2.0,2.0,2.0,,1.0,,,8cf07265,b7ca2abd,53266d8f,d6b6e0bf,25c83c98,fe6b92e5,d2d741ca,0b153874,a73ee510,18139a78,ea4adb47,ee4cd37c,05781932,1adce6ef,a5007c7b,6de617d3,07c540c4,4771e483,,,df66957b,,3a171ecb,b34f3128,,
10000615,1,,1,4.0,1.0,4870.0,19.0,13.0,7.0,75.0,,6.0,,1.0,24eda356,38a947a1,d2e629b9,ca816d31,25c83c98,fbad5c96,183ceacc,5b392875,a73ee510,bc91cec3,7495273d,7f613a89,e97e78ef,07d13a8f,760e4845,02af86f2,e5ba7672,1c437c51,,,7812b499,,32c7478e,0cae79aa,,
10001665,0,,-1,,,,,0.0,1.0,1.0,,0.0,,,05db9164,0c0567c2,b3347cc3,fa30ea43,25c83c98,fe6b92e5,970f01b2,64523cfa,7cc72ec2,3b08e48b,36bccca0,3a15eb99,80467802,07d13a8f,2d5d7e11,4f264080,2005abd1,98c4d3e0,,,91e1efa5,,55dd3565,7fb4ff91,,
10001500,0,1.0,-1,1.0,3.0,447.0,3.0,3.0,6.0,6.0,1.0,2.0,,3.0,05db9164,38a947a1,9b8718c2,adf9de80,25c83c98,7e0ccccf,e982003c,0b153874,a73ee510,3b08e48b,64bbd6b2,e316d2d0,eb11180c,b28479f6,2530f036,48e224f3,07c540c4,3e608631,,,a9fb024b,8ec974f4,32c7478e,6e9a987f,,
10000351,0,,179,,,,,,0.0,,,,,,87552397,38a947a1,382be412,0ad2ad70,25c83c98,fbad5c96,970f01b2,0b153874,7cc72ec2,3b08e48b,36bccca0,450f33a6,80467802,b28479f6,ad31dfdb,2a7f62df,2005abd1,082ff924,,,b691bac2,,bcdee96c,88ed380d,,
10001217,1,0.0,2,,7.0,5790.0,104.0,3.0,9.0,103.0,0.0,1.0,,38.0,05db9164,68b3edbf,b00d1501,d16679b9,25c83c98,7e0ccccf,4ef59df2,1f89b562,a73ee510,4ec65f86,f8bed1fb,e0d76380,18a5133f,b28479f6,f511c49f,1203a270,07c540c4,752d8b8a,,,73d06dde,,bcdee96c,aee52b6f,,
10001524,1,0.0,-1,,,3237.0,116.0,18.0,17.0,357.0,0.0,5.0,,,68fd1e64,2a69d406,6af9742e,13508380,384874ce,fbad5c96,d5f62b87,1f89b562,a73ee510,0d554e70,434d6c13,8afa65d1,7301027a,07d13a8f,3b2d8705,2235af84,3486227d,642f2610,1d1eb838,a458ea53,5df9af5f,,423fab69,45ab94c8,2bf691b1,c84c4aec
10001361,0,0.0,11,,3.0,2825.0,129.0,12.0,44.0,212.0,0.0,5.0,0.0,3.0,05db9164,38a947a1,2260448d,2192038e,25c83c98,7e0ccccf,34cbc0af,0b153874,a73ee510,42459662,88196a93,f7cbe917,1211c647,b28479f6,ab07a5b8,0c6b4ad6,e5ba7672,d5d1ae1c,,,f6e3bd9c,,32c7478e,9e07eb4a,,
10000740,0,6.0,14,54.0,20.0,60.0,21.0,143.0,39.0,934.0,2.0,31.0,3.0,21.0,05db9164,942f9a8d,4d7b862e,cf069647,25c83c98,7e0ccccf,3f4ec687,0b153874,a73ee510,7f79890b,c4adf918,3d7ff492,85dbe138,b28479f6,ac182643,7a76439d,8efede7f,1f868fdd,ea132b7c,a458ea53,d7be7b8d,,32c7478e,9b786035,9d93af03,72ecd2e2
10001087,0,2.0,1,1.0,12.0,31.0,12.0,40.0,40.0,124.0,1.0,6.0,1.0,12.0,05db9164,ae46a29d,e40c8a42,f922efad,43b19349,13718bbd,43b59c37,062b5529,a73ee510,f71087b9,23cd7a8a,66a76a26,009f5dd8,1adce6ef,8ff4b403,01adbab4,3486227d,26b3c7a7,,,21c9516a,,423fab69,b34f3128,,
10000253,0,,508,6.0,6.0,14166.0,37.0,1.0,6.0,63.0,,1.0,,6.0,5ebc3192,09e68b86,4655607d,9d31eb6b,384874ce,7e0ccccf,5e0c5a8e,0b153874,a73ee510,afef695d,d83caed6,6cc4fcb2,d5aaf8c3,1adce6ef,dbc5e126,28fa6301,e5ba7672,5aed7436,3a52a22f,a458ea53,059d6830,,423fab69,54761a25,ea9a246c,8e3c920c
10001432,0,0.0,1,5.0,7.0,19238.0,360.0,3.0,4.0,223.0,0.0,1.0,,12.0,5bfa8ab5,f0cf0024,a1acf62a,651d542f,25c83c98,fbad5c96,5b07414c,062b5529,a73ee510,86cff510,54649d62,51d098b7,c679a49f,cfef1c29,131dff63,2e97807d,07c540c4,cc693e93,21ddcdc9,5840adea,9ce3d12f,c9d4222a,32c7478e,03ba7282,ea9a246c,983e320a
10000299,0,,7,32.0,23.0,31645.0,41.0,15.0,14.0,24.0,,0.0,,23.0,05db9164,80e26c9b,e346a5fd,85dd697c,25c83c98,fbad5c96,d03697f9,0b153874,a73ee510,8958d049,61593534,539c5644,9259d03d,b28479f6,a785131a,aafa191e,27c07bd6,005c6740,21ddcdc9,5840adea,7e5b7cc4,,3a171ecb,1793a828,e8b83407,b9809574
10001920,0,,212,16.0,22.0,16200.0,510.0,2.0,26.0,208.0,,1.0,,23.0,05db9164,08d6d899,9143c832,f56b7dd5,25c83c98,7e0ccccf,6edd3a80,0b153874,a73ee510,ab9456b4,bfd9d6e5,ae1bb660,e1b62f8f,07d13a8f,41f10449,bad5ee18,07c540c4,698d1c68,,,0429f84b,c9d4222a,be7c41b4,c0d61a5c,,
10000568,0,,0,1.0,,11855.0,11.0,8.0,1.0,13.0,,2.0,,,3c9d8785,a05721f4,2c2915ad,a92a2097,4cf72387,fbad5c96,b3b280b5,5b392875,a73ee510,3b08e48b,3e38ef40,c23bca28,5e419718,b28479f6,03b0a8e3,ebc92e5f,07c540c4,4ac4fd60,,,9e805f53,ad3062eb,85d5a995,01eb9c81,,
10000838,0,0.0,1,,11.0,4338.0,137.0,23.0,12.0,544.0,0.0,5.0,,20.0,05db9164,ae46a29d,9dad1f27,f922efad,25c83c98,fe6b92e5,3d384ecf,37e4aa92,a73ee510,dc790dda,93bc0a6a,9bf4fa6a,f3747bf1,1adce6ef,d9e19f11,01adbab4,e5ba7672,e32bf683,,,21c9516a,,32c7478e,b34f3128,,
10001287,0,0.0,9,46.0,22.0,1787.0,237.0,6.0,29.0,170.0,0.0,2.0,0.0,49.0,05db9164,4f25e98b,878a4d1d,ec142e08,25c83c98,7e0ccccf,103c17bc,0b153874,a73ee510,42635bfd,e6e0c2dc,64e71ff6,e9332a03,07d13a8f,5cedaf14,d14a4197,e5ba7672,c04ce6df,6f86de17,a458ea53,e3b993b8,,3a171ecb,9117a34a,001f3601,54ca28ff
10001525,0,,13,,,,,0.0,1.0,1.0,,0.0,,,68fd1e64,38d50e09,d032c263,c18be181,25c83c98,fbad5c96,970f01b2,0b153874,7cc72ec2,3b08e48b,36bccca0,dfbb09fb,80467802,07d13a8f,ee569ce2,84898b2a,2005abd1,582152eb,21ddcdc9,5840adea,0014c32a,ad3062eb,55dd3565,3b183c5c,001f3601,0347f0d3
10000565,0,0.0,324,6.0,5.0,6120.0,,0.0,13.0,6.0,0.0,0.0,,14.0,be589b51,0acbc0bb,e6eab848,a01d631a,25c83c98,7e0ccccf,894ba00a,0b153874,a73ee510,3b08e48b,62750746,9548807f,48b975db,07d13a8f,fbdfc6b5,9226afe8,07c540c4,140bbba0,,,d4f60ad4,,be7c41b4,c9beb5ca,,
10001402,1,0.0,0,2.0,,10671.0,191.0,2.0,0.0,191.0,0.0,2.0,,,39af2607,58e67aaf,7ccc8a31,e26ca125,25c83c98,7e0ccccf,a870a74a,5b392875,a73ee510,e058d4a3,17586bd8,c7883ba5,4c9ff09f,1adce6ef,d002b6d9,542c1f96,07c540c4,c21c3e4c,21ddcdc9,b1252a9d,1bbb5c9c,,423fab69,3fdb382b,9b3e8820,49d68486
10000271,0,,2,51.0,12.0,6593.0,104.0,13.0,10.0,92.0,,4.0,,12.0,05db9164,09e68b86,1833da64,9214a1c7,4cf72387,7e0ccccf,e4cff53d,0b153874,a73ee510,bad0adec,070f2ece,47a2a595,b558cfc7,1adce6ef,2223bcd1,8ead029f,e5ba7672,479030a6,7839a083,5840adea,dcf2ba9c,c9d4222a,32c7478e,41be4766,e8b83407,d8a062c4
10000214,0,5.0,48,1.0,35.0,571.0,68.0,6.0,13.0,277.0,1.0,2.0,0.0,38.0,05db9164,9e5ce894,cff1fe84,13508380,25c83c98,7e0ccccf,81f7f73c,0b153874,a73ee510,8aa1b7d2,6263d404,6ac5bc4b,aa1eb12e,07d13a8f,8cf98699,6206597d,e5ba7672,a5bb7b8a,55dd3565,b1252a9d,5a345791,,c7dc6720,45ab94c8,ea9a246c,c84c4aec
10001464,0,6.0,-1,3.0,19.0,2.0,6.0,6.0,19.0,38.0,4.0,4.0,1.0,6.0,5a9ed9b0,09e68b86,aa8c1539,85dd697c,25c83c98,7e0ccccf,8048b460,5b392875,a73ee510,cb3c0ba3,ae4c531b,d8c29807,01c2bbc7,1adce6ef,dcd06253,c64d548f,3486227d,63cdbb21,cf99e5de,5840adea,5f957280,,32c7478e,1793a828,e8b83407,b7d9c3bc
10001838,0,,0,2.0,1.0,38787.0,,0.0,13.0,728.0,,0.0,,1.0,8cf07265,68b3edbf,77f2f2e5,d16679b9,4cf72387,7e0ccccf,a61aeaec,1f89b562,a73ee510,901ad2a4,17586bd8,9f32b866,4c9ff09f,07d13a8f,98674466,31ca40b6,e5ba7672,752d8b8a,,,dfcfc3fa,,423fab69,aee52b6f,,
10000536,0,6.0,3472,3.0,,1339.0,96.0,83.0,36.0,450.0,0.0,17.0,0.0,,68fd1e64,38a947a1,bdec0e5d,3e899880,25c83c98,7e0ccccf,628489a8,062b5529,a73ee510,3155f559,8e8b2ae0,b2526fea,f98d9f6e,cfef1c29,18dc3782,5085ea22,1e88c74f,47ecd034,,,1718ad45,,423fab69,afe9396a,,
10001375,0,9.0,1,,1.0,2.0,1.0,9.0,1.0,1.0,1.0,1.0,11.0,0.0,291b7ba2,38a947a1,,,30903e74,7e0ccccf,468a0854,0b153874,a73ee510,3b08e48b,a60de4e5,,605bbc24,1adce6ef,8eb553b7,,8efede7f,e3296f92,,,,ad3062eb,dbb486d7,,,
10001693,0,,0,1.0,,7894.0,,0.0,1.0,4.0,,0.0,,,5a9ed9b0,09e68b86,42c664e6,5be5ba63,25c83c98,,16401b7d,062b5529,a73ee510,3b08e48b,20ec800a,4f94cb71,18a5e4b8,b28479f6,52baadf5,4ee63296,776ce399,5aed7436,d13f30e6,a458ea53,78f731c4,,32c7478e,0333a312,e8b83407,520d881a
10000666,0,0.0,64,6.0,1.0,25950.0,,0.0,1.0,1.0,0.0,0.0,,1.0,05db9164,d4be07ad,44530b16,e230cfa2,25c83c98,7e0ccccf,cdd4e327,0b153874,7cc72ec2,4be9ce03,48e01e3c,50777248,613b2c28,07d13a8f,1936a526,7487c2c1,07c540c4,cbae5931,04de9d96,5840adea,102d94f8,ad3062eb,3a171ecb,b2f178a3,001f3601,938732a0
10000526,0,,173,7.0,12.0,3133.0,40.0,27.0,29.0,202.0,,9.0,,12.0,8cf07265,3f0d3f28,8216348d,e5320740,4cf72387,fbad5c96,ad3508b1,0b153874,a73ee510,28bd0575,ad757a5a,3901fbe6,93b18cb5,1adce6ef,14108df6,16b7b16b,e5ba7672,88416823,,,d0aa7035,,423fab69,e5fca70a,,
10000587,0,,1,2.0,1.0,2995.0,,0.0,1.0,5.0,,0.0,,1.0,68fd1e64,8cc9c66e,85f36f0f,76c5ba61,25c83c98,,5ad1a84d,0b153874,a73ee510,3b08e48b,8b6b3f43,887032e3,083755dd,b28479f6,3bfd73d1,27c80b53,776ce399,a6f5dd38,21ddcdc9,a458ea53,bb8cabbf,,bcdee96c,7beffc84,2bf691b1,259938d2
10000781,0,0.0,1,10.0,2.0,832.0,38.0,2.0,5.0,5.0,0.0,1.0,,2.0,05db9164,38a947a1,3f0d2723,d6f14369,25c83c98,7e0ccccf,7acae6b9,0b153874,a73ee510,e8438e24,2872a4bd,21df64db,f8320f48,b28479f6,754556a3,0ac42532,1e88c74f,126d5ace,,,9477880c,,32c7478e,10edf4e4,,
10001367,0,8.0,1,50.0,40.0,18.0,24.0,12.0,46.0,97.0,1.0,2.0,,23.0,05db9164,38a947a1,8e862e24,dc64cb2c,43b19349,fbad5c96,b3b280b5,5b392875,a73ee510,3b08e48b,3e38ef40,96e389b3,5e419718,b28479f6,a8830f2c,fe49babc,e5ba7672,6de7a3ee,,,f2e48b5a,ad3062eb,85d5a995,9c2bbbda,,
10001335,0,,30,6.0,6.0,11633.0,,,9.0,,,,,6.0,5bfa8ab5,38d50e09,92eb3174,88e439d9,4cf72387,7e0ccccf,4f9b38fe,64523cfa,a73ee510,416b5b64,4ca0f167,604f499b,eb4b1bfd,b28479f6,06373944,8e662061,e5ba7672,fffe2a63,21ddcdc9,b1252a9d,872c22d6,,32c7478e,df487a73,001f3601,c27f155b
10000004,0,3.0,-1,,0.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,,0.0,8cf07265,ae46a29d,c81688bb,f922efad,25c83c98,13718bbd,ad9fa255,0b153874,a73ee510,5282c137,e5d8af57,66a76a26,f06c53ac,1adce6ef,8ff4b403,01adbab4,1e88c74f,26b3c7a7,,,21c9516a,,32c7478e,b34f3128,,
10000204,0,0.0,93,3.0,3.0,1385.0,10.0,11.0,10.0,128.0,0.0,4.0,0.0,3.0,05db9164,e9ac66c5,2e60d568,64e16465,0942e0a7,7e0ccccf,ec258437,37e4aa92,a73ee510,fbbf2c95,0d989d65,1e97d4b6,f948ca5d,07d13a8f,fc45bcbf,0834adb7,3486227d,e85b49c7,,,5954ee5c,,32c7478e,298010d7,,
10001782,0,0.0,1,1.0,2.0,1641.0,274.0,1.0,5.0,247.0,0.0,1.0,,2.0,da4eff0f,09e68b86,aa8c1539,85dd697c,4cf72387,7e0ccccf,175f4be6,5b392875,a73ee510,17a0cc50,1f36d28a,d8c29807,0a8a3875,8ceecbc8,d2f03b75,c64d548f,d4bb7bd8,63cdbb21,cf99e5de,5840adea,5f957280,,3a171ecb,1793a828,e8b83407,b7d9c3bc
10000408,0,13.0,2,15.0,0.0,17.0,3.0,13.0,0.0,0.0,1.0,1.0,,0.0,05db9164,89ddfee8,d195dd70,496b4b7b,25c83c98,,ad3508b1,5b392875,a73ee510,5ffc7b25,ad757a5a,362b89ef,93b18cb5,07d13a8f,4df3da6b,275d87ab,e5ba7672,5bb2ec8e,21ddcdc9,a458ea53,fd66195d,,c7dc6720,cdd953ce,f0f449dd,c41b12cd
10000434,0,0.0,-1,,2.0,3864.0,569.0,68.0,32.0,200.0,0.0,5.0,5.0,2.0,05db9164,d833535f,ad4b77ff,d16679b9,4cf72387,7e0ccccf,62722182,5b392875,a73ee510,3b08e48b,0eb7632e,a2f4e8b5,96fa211f,b28479f6,a66dcf27,89052618,8efede7f,7b49e3d2,,,d4703ebd,,3a171ecb,aee52b6f,,
10001492,0,2.0,0,,6.0,732.0,16.0,5.0,20.0,70.0,1.0,3.0,,6.0,05db9164,5dac953d,d032c263,c18be181,4cf72387,fbad5c96,0d3f4163,0b153874,a73ee510,6fc2ecdb,9c2588ba,dfbb09fb,31045073,b28479f6,20e0957a,84898b2a,e5ba7672,befd6e69,,,0014c32a,,32c7478e,3b183c5c,,
10000219,0,,14,28.0,14.0,26324.0,39.0,3.0,21.0,32.0,,1.0,,14.0,ae82ea21,4c2bc594,d032c263,c18be181,25c83c98,fe6b92e5,869243b9,5b392875,a73ee510,3b08e48b,6a77517a,dfbb09fb,e0230d57,1adce6ef,ae0c3875,84898b2a,27c07bd6,15a36060,,,0014c32a,,3a171ecb,3b183c5c,,
10000831,0,14.0,10,2.0,8.0,1137.0,10.0,16.0,10.0,29.0,0.0,2.0,1.0,8.0,05db9164,e112a9de,673345d7,d3e15e1a,25c83c98,fe6b92e5,fa707f72,0b153874,a73ee510,711ec2bc,6241e24a,cf30aac4,8c1a3ad8,07d13a8f,21879282,97a55a46,3486227d,c342ea0e,,,9ca57840,ad3062eb,3a171ecb,a0ab2ce0,,
10000457,0,0.0,30,,,41264.0,808.0,0.0,5.0,82.0,0.0,0.0,,,68fd1e64,8084ee93,d032c263,c18be181,25c83c98,fe6b92e5,52283d1c,0b153874,a73ee510,efea433b,e51ddf94,dfbb09fb,3516f6e6,b28479f6,b2ff8c6b,84898b2a,d4bb7bd8,52e44668,,,0014c32a,,32c7478e,3b183c5c,,
10000721,0,,976,9.0,5.0,1450.0,,0.0,6.0,6.0,,0.0,,6.0,5a9ed9b0,4f25e98b,66d23ba2,34d81946,89ff5705,6f6d9be8,cfca79f1,0b153874,a73ee510,9cb7fd75,7a6f163c,442121c0,b3ab85b2,07d13a8f,5cedaf14,399c02fb,1e88c74f,c04ce6df,21ddcdc9,b1252a9d,c72a9262,,32c7478e,9117a34a,001f3601,54ca28ff
10001064,0,1.0,5,2.0,4.0,529.0,5.0,7.0,4.0,116.0,1.0,3.0,0.0,4.0,05db9164,4c2bc594,d032c263,c18be181,25c83c98,7e0ccccf,26a81064,0b153874,a73ee510,dcbc7c2b,9e511730,dfbb09fb,04e4a7e0,8ceecbc8,7ac43a46,84898b2a,e5ba7672,bc48b783,,,0014c32a,,55dd3565,3b183c5c,,
10001446,0,,592,,3.0,6514.0,20.0,1.0,3.0,3.0,,1.0,,3.0,68fd1e64,38d50e09,0fc95866,88e439d9,492fbc44,fbad5c96,def4a4d4,0b153874,a73ee510,f650add0,4ba74619,23253c33,879fa878,07d13a8f,fa321567,0607e9c3,d4bb7bd8,52b872ed,21ddcdc9,a458ea53,1d970d19,,423fab69,df487a73,e8b83407,c27f155b
10001686,0,1.0,0,1.0,15.0,108.0,21.0,1.0,15.0,16.0,1.0,1.0,,16.0,05db9164,ae46a29d,cb3105c6,f922efad,25c83c98,3bf701e7,a89c28f5,0b153874,a73ee510,b58c39b4,d5df6cd3,e60d5191,daee1f01,8ceecbc8,14d0a096,e2e2fcd9,d4bb7bd8,a573334c,,,ba68d86b,ad3062eb,32c7478e,b34f3128,,
10001034,0,,-1,,,3651.0,,0.0,9.0,43.0,,0.0,,,8cf07265,f8c8e8f8,cedcacac,7967fcf5,4cf72387,7e0ccccf,ae33f6b1,5b392875,a73ee510,fa7d0797,0b1185ee,553e02c3,9416a599,1adce6ef,bd2c909f,91a6eec5,1e88c74f,d2f0bce2,21ddcdc9,5840adea,a97b62ca,,32c7478e,727a7cc7,f55c04b6,6935065e
10001812,0,0.0,0,7.0,6.0,1956.0,411.0,72.0,4.0,887.0,0.0,5.0,1.0,6.0,05db9164,80e26c9b,e346a5fd,85dd697c,25c83c98,7e0ccccf,511a53a9,0b153874,a73ee510,a1ee64a6,42474081,539c5644,3966c8cd,b28479f6,a785131a,aafa191e,3486227d,005c6740,21ddcdc9,5840adea,7e5b7cc4,,32c7478e,1793a828,e8b83407,b9809574
10001952,1,1.0,1,3.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,,0.0,5a9ed9b0,4f25e98b,8dbfdfba,a14a1bd1,25c83c98,fe6b92e5,934229d4,0fb392dd,a73ee510,8415ee99,532530d1,d2e51250,dbffa30d,64c94865,40e29d2a,f7754bde,d4bb7bd8,7ef5affa,0053530c,a458ea53,66b495db,,32c7478e,3fdb382b,001f3601,49d68486
10000842,1,,48,13.0,12.0,2940.0,775.0,2.0,7.0,193.0,,0.0,,12.0,05db9164,fc1fa80d,5a1201eb,45e7b9c6,25c83c98,7e0ccccf,124131fa,37e4aa92,a73ee510,a1ee64a6,9ba53fcc,cdac3d6f,42156eb4,b28479f6,4ce39685,4dab12d6,e5ba7672,f68751cd,,,e58d8a84,c9d4222a,bcdee96c,1793a828,,
10000962,0,2.0,-1,,,285.0,5.0,2.0,1.0,22.0,2.0,2.0,,,05db9164,09e68b86,4bd49689,f55645df,4cf72387,7e0ccccf,47aa6d2e,0b153874,a73ee510,91225285,c30e7b00,480bde65,4f8670dc,07d13a8f,907a361f,731fb6c9,e5ba7672,901e19dc,0ec8d23c,b1252a9d,90756215,,32c7478e,237343db,e8b83407,a034ca84
10000481,0,,241,13.0,12.0,502.0,,0.0,16.0,88.0,,0.0,,12.0,05db9164,bc84a2bc,16c47b7d,dc56a6c8,25c83c98,fbad5c96,2b195774,5b392875,a73ee510,3b08e48b,a9f02987,aa910cce,0c639b84,07d13a8f,131566f7,a0613853,1e88c74f,d632055f,21ddcdc9,b1252a9d,053a45ab,,32c7478e,becdd73c,001f3601,aa5f0a15
10000268,0,,2242,13.0,7.0,11786.0,63.0,29.0,13.0,87.0,,1.0,,13.0,be589b51,4c2bc594,d032c263,c18be181,25c83c98,7e0ccccf,7227c706,1f89b562,a73ee510,305a0646,9625b211,dfbb09fb,dccbd94b,8ceecbc8,7ac43a46,84898b2a,e5ba7672,bc48b783,,,0014c32a,ad3062eb,55dd3565,3b183c5c,,
10000711,1,,30,1.0,1.0,30227.0,8.0,3.0,6.0,9.0,,1.0,,1.0,09ca0b81,38a947a1,9011c162,b5f7c643,25c83c98,fe6b92e5,c86e8c6b,5b392875,7cc72ec2,d72f452e,4d8549da,2ad06856,51b97b8f,b28479f6,6b8ac38e,1d0eb9f4,e5ba7672,6fe9da0c,,,4ab4ce41,,3a171ecb,2c502c1d,,
10000031,0,,-1,,,4956.0,,0.0,37.0,97.0,,0.0,,,be589b51,4c2bc594,d032c263,c18be181,25c83c98,fe6b92e5,aa0d873c,0b153874,a73ee510,3b08e48b,868744ab,dfbb09fb,9dfda2b9,8ceecbc8,7ac43a46,84898b2a,776ce399,bc48b783,,,0014c32a,,55dd3565,3b183c5c,,
10000883,0,,30,3.0,18.0,11776.0,,0.0,24.0,129.0,,0.0,,18.0,05db9164,08d6d899,7c5d58b4,60d5f5a7,25c83c98,7e0ccccf,38850d41,0b153874,a73ee510,6e7947ce,49aeb6a9,1d00cbc4,8f7e5dc7,b28479f6,bfef54b3,b93ac0ad,1e88c74f,87c6f83c,,,bf8efd4c,,32c7478e,f96a556f,,
10001971,0,6.0,17,2.0,12.0,11.0,12.0,6.0,2.0,12.0,1.0,1.0,,12.0,ae82ea21,2c8c5f5d,13cd0697,352cefe6,25c83c98,fbad5c96,0284608a,0b153874,a73ee510,3b08e48b,65819b7a,c3cdaf85,2e21cea2,1adce6ef,5edc1a28,08514295,e5ba7672,f5f4ae5b,,,6387fda4,,3a171ecb,d36c7dbf,,
10001349,0,0.0,94,3.0,3.0,5955.0,,0.0,3.0,3.0,0.0,0.0,,3.0,41edac3d,0a519c5c,b00d1501,d16679b9,25c83c98,7e0ccccf,7848490d,0b153874,a73ee510,3b08e48b,a74169ca,e0d76380,1cf9c8dd,b28479f6,7f6af6b0,1203a270,3486227d,eea3ab97,,,73d06dde,,3a171ecb,aee52b6f,,
